Embalaje,Ancho_cm,Largo_cm,Alto_cm,Peso_kg,Manipulacion,Procedencia,Temperatura,Protocolo
1,48.3,18.0,38.0,12.51,fragil,C,ambiente,Protocolo_2
3,16.3,80.9,45.0,37.92,normal,A,refrigerado,Protocolo_2
2,59.1,98.9,98.5,18.7,normal,B,ambiente,Protocolo_1
2,19.9,39.2,13.0,55.02,fragil,B,ambiente,Protocolo_2
2,10.8,87.2,15.6,57.25,normal,A,ambiente,Protocolo_1
3,52.4,77.4,46.4,0.85,normal,B,ambiente,Protocolo_1
1,67.3,91.6,21.1,76.35,fragil,A,ambiente,Protocolo_2
3,86.1,45.3,70.1,74.02,normal,A,ambiente,Protocolo_1
1,79.4,14.6,39.3,10.73,normal,B,ambiente,Protocolo_1
1,86.4,16.2,85.4,38.33,fragil,B,refrigerado,Protocolo_2
2,77.2,77.5,76.1,16.88,fragil,C,ambiente,Protocolo_2
3,71.8,87.0,49.7,77.12,normal,A,refrigerado,Protocolo_2
3,6.0,48.4,85.3,45.37,normal,A,refrigerado,Protocolo_2
3,64.5,10.7,14.6,56.07,normal,A,refrigerado,Protocolo_2
3,16.4,11.3,60.2,78.24,normal,C,refrigerado,Protocolo_2
3,10.6,61.9,62.5,53.91,normal,D,refrigerado,Protocolo_2
2,19.9,92.3,28.4,69.69,normal,D,ambiente,Protocolo_1
1,83.2,43.0,9.7,19.4,normal,D,ambiente,Protocolo_1
3,75.7,66.8,55.8,18.51,normal,D,ambiente,Protocolo_1
2,95.1,56.5,53.8,35.41,normal,D,ambiente,Protocolo_1
2,98.0,89.5,67.1,70.54,normal,B,ambiente,Protocolo_2
2,89.9,84.1,25.2,3.32,normal,C,ambiente,Protocolo_1
1,17.6,23.9,22.1,35.42,normal,A,refrigerado,Protocolo_2
3,88.4,69.4,97.9,66.03,normal,D,ambiente,Protocolo_2
3,84.7,85.5,15.8,14.36,normal,A,refrigerado,Protocolo_1
2,87.8,93.4,99.9,49.33,fragil,C,ambiente,Protocolo_2
2,19.4,61.0,73.4,5.78,normal,B,ambiente,Protocolo_1
3,16.1,21.7,64.8,1.03,fragil,B,ambiente,Protocolo_1
2,92.8,58.0,37.3,25.65,normal,C,ambiente,Protocolo_1
2,21.5,68.3,87.4,64.49,normal,B,ambiente,Protocolo_1
2,40.0,30.9,91.5,3.5,normal,D,refrigerado,Protocolo_1
1,48.3,97.4,73.6,29.31,normal,B,refrigerado,Protocolo_2
1,16.8,26.8,72.4,58.34,normal,B,refrigerado,Protocolo_2
2,7.0,91.6,51.8,29.66,normal,D,ambiente,Protocolo_1
3,99.4,45.4,12.4,38.41,normal,B,ambiente,Protocolo_1
1,88.3,5.1,99.9,40.13,fragil,B,ambiente,Protocolo_2
3,91.7,56.6,6.5,72.66,normal,B,ambiente,Protocolo_1
3,32.0,64.7,52.1,70.1,normal,C,ambiente,Protocolo_1
1,25.9,87.6,39.9,5.28,normal,B,ambiente,Protocolo_1
2,45.5,56.4,78.7,55.44,normal,A,refrigerado,Protocolo_2
1,48.1,13.9,74.9,43.52,normal,A,refrigerado,Protocolo_2
3,5.5,93.0,64.7,28.49,normal,B,refrigerado,Protocolo_1
3,79.0,58.7,12.1,39.51,fragil,A,ambiente,Protocolo_2
2,99.7,30.8,27.5,70.41,normal,D,ambiente,Protocolo_1
1,55.2,90.4,13.9,61.89,normal,C,refrigerado,Protocolo_2
3,41.9,16.5,98.0,45.53,normal,D,ambiente,Protocolo_2
2,42.3,14.3,17.1,14.21,normal,C,ambiente,Protocolo_1
3,14.1,55.8,96.9,49.57,normal,C,ambiente,Protocolo_2
3,30.3,64.4,15.7,39.94,fragil,A,ambiente,Protocolo_1
3,52.7,53.5,86.9,35.86,normal,C,refrigerado,Protocolo_1
3,46.0,93.3,59.6,75.52,normal,A,refrigerado,Protocolo_2
1,56.8,30.0,84.0,79.41,normal,A,ambiente,Protocolo_1
2,85.7,99.1,65.2,76.12,normal,A,ambiente,Protocolo_2
2,26.4,6.8,78.0,59.16,normal,C,ambiente,Protocolo_1
2,7.6,16.3,74.4,47.99,normal,C,refrigerado,Protocolo_2
1,8.6,22.6,29.7,25.69,normal,A,ambiente,Protocolo_1
2,17.7,12.6,93.8,75.79,normal,D,refrigerado,Protocolo_2
1,59.2,46.6,66.1,36.56,normal,D,ambiente,Protocolo_1
3,81.8,87.2,24.2,16.29,normal,C,refrigerado,Protocolo_1
3,89.2,83.0,34.1,9.04,fragil,C,refrigerado,Protocolo_2
3,65.3,75.8,55.6,66.9,normal,B,refrigerado,Protocolo_2
3,43.3,5.7,88.8,26.39,fragil,B,ambiente,Protocolo_1
2,19.7,87.2,80.7,61.34,normal,B,refrigerado,Protocolo_2
3,43.1,42.7,33.7,50.27,normal,A,ambiente,Protocolo_1
2,36.6,74.5,70.4,22.83,fragil,D,ambiente,Protocolo_2
1,87.7,74.1,5.2,68.08,fragil,B,ambiente,Protocolo_2
3,51.2,21.9,36.6,67.62,normal,B,refrigerado,Protocolo_2
2,26.5,54.0,84.8,13.91,fragil,A,ambiente,Protocolo_2
1,32.4,93.0,19.4,9.92,fragil,B,ambiente,Protocolo_2
2,18.0,30.0,38.6,48.12,normal,A,ambiente,Protocolo_1
3,92.3,72.9,5.1,18.83,normal,C,refrigerado,Protocolo_1
1,9.8,96.0,7.2,26.71,fragil,C,ambiente,Protocolo_2
2,6.2,39.3,18.9,74.95,normal,C,ambiente,Protocolo_1
1,22.4,41.8,14.7,14.21,fragil,C,ambiente,Protocolo_2
3,82.0,48.0,51.5,37.75,normal,D,ambiente,Protocolo_1
2,54.7,81.9,90.5,23.73,normal,A,ambiente,Protocolo_1
1,64.5,46.7,13.0,27.96,normal,B,ambiente,Protocolo_1
1,39.0,51.2,87.6,29.73,fragil,C,ambiente,Protocolo_2
2,11.5,26.1,68.5,20.95,fragil,D,ambiente,Protocolo_2
3,86.3,98.9,21.0,61.13,normal,B,ambiente,Protocolo_1
3,23.2,89.8,32.5,64.99,fragil,A,ambiente,Protocolo_2
2,8.1,62.0,23.4,43.25,normal,A,ambiente,Protocolo_1
1,59.4,96.3,80.0,71.96,normal,D,refrigerado,Protocolo_2
3,12.9,70.3,73.9,11.1,normal,A,ambiente,Protocolo_1
2,14.1,96.1,33.9,40.63,normal,A,ambiente,Protocolo_1
3,81.0,20.3,10.2,66.31,fragil,D,refrigerado,Protocolo_2
1,51.7,26.4,21.0,49.75,normal,D,ambiente,Protocolo_2
